"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JHD4E9JM","journalArticle","2005","Rose, I.; Bones, D.R.; Pimentel, M.","Monte Carlo simulation and its application in modelling electricity market behaviour","Australian Journal of Electrical and Electronics Engineering","","1448-837X, 2205-362X","10.1080/1448837X.2005.11464129","https://www.tandfonline.com/doi/full/10.1080/1448837X.2005.11464129","There has been substantial restructuring of the Australian Electricity Supply Industry over the past ten years. At the center of this restructuring has been the introduction of the National Electricity Market (NEM). In the NEM all electricity is traded through a common pool. Market outcomes therefore have a direct impact on the proﬁtability of participants.","2005-01","2018-07-26 01:40:50","2018-07-26 01:40:50","2018-07-26 01:40:50","199-208","","3","2","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\NY79RZZL\Rose et al. - 2005 - Monte Carlo simulation and its application in mode.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVI9WT94","journalArticle","2013","Forrest, Sam; MacGill, Iain","Assessing the impact of wind generation on wholesale prices and generator dispatch in the Australian National Electricity Market","Energy Policy","","03014215","10.1016/j.enpol.2013.02.026","http://linkinghub.elsevier.com/retrieve/pii/S0301421513001110","","2013-08","2018-07-26 01:44:33","2018-07-26 01:44:33","2018-07-26 01:44:33","120-132","","","59","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\TF5TALVM\Forrest and MacGill - 2013 - Assessing the impact of wind generation on wholesa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II7CFE8H","journalArticle","2009","Göransson, Lisa; Johnsson, Filip","Dispatch modeling of a regional power generation system – Integrating wind power","Renewable Energy","","09601481","10.1016/j.renene.2008.08.002","http://linkinghub.elsevier.com/retrieve/pii/S0960148108003005","A modeling tool has been developed which can be used to analyze interaction between intermittent wind power generation and thermal power plant generation in a regional electricity grid system. The model uses a mixed integer programming (MIP) approach to determine the power plant dispatch strategy which yields the lowest systems costs. In the model, each large thermal plant is described separately, including properties such as start-up time, start-up cost and minimum load level. The model is evaluated using western Denmark as a case study.","2009-04","2018-07-26 01:49:25","2018-07-26 01:49:25","2018-07-26 01:49:25","1040-1049","","4","34","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\JYK28DZ8\Göransson and Johnsson - 2009 - Dispatch modeling of a regional power generation s.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNN8JCZC","journalArticle","","Riesz, Jennifer J; Shiao, Fu-Sheng; Gilmore, Joel B; Yeowart, David; Turley, Andrew; Rose, Ian A","Frequency Control Ancillary Service Requirements with Wind Generation - Australian Projections","","","","","","This paper reports on detailed modelling to project the size and cost of Frequency Control Ancillary Service (FCAS) requirements in two Australian markets in 2019-20 upon implementation of the 20% Renewable Energy Target. One minute resolution wind and demand data was used in conjunction with a system frequency model and a market dispatch model. In the National Electricity Market (NEM) the Regulation requirement was found to increase by around 10% of the added wind capacity. However, in the much smaller South-West Interconnected System (SWIS), the Load Following requirement was found to increase by around 30-40% of the added wind capacity. FCAS (Regulation + Slow Contingency) costs are projected to increase substantially in response, increasing by a factor of 20 in the NEM, and a factor of 11 in the SWIS. While these settlements remain small by comparison with energy settlements, if these cost increases are allocated to wind generators they could be prohibitively large, being $6-8 /MWh in the NEM, and $30-60 /MWh in the SWIS.","","2018-07-26 23:32:58","2018-07-26 23:32:58","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\W249QR8U\Riesz et al. - Frequency Control Ancillary Service Requirements w.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6HG5FFK","book","2006","Perez, Pascal; Batten, David","Complex Science for a Complex World : Exploring Human Ecosystems with Agents","","978-1-920942-39-7","","","https://www.oapen.org/record/458885","","2006","2018-07-26 23:37:05","2018-07-26 23:37:05","2018-07-26 23:37:05","","","","","","","Complex Science for a Complex World","","","","","ANU Press","","en","","","","","Crossref","","DOI: 10.26530/OAPEN_458885","","C:\Users\user\Zotero\storage\AYB2J26J\Perez and Batten - 2006 - Complex Science for a Complex World  Exploring Hu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYDVTZCY","journalArticle","","Maisano, J; Radchik, A; Skryabin, I","A method of forecasting wholesale electricity market prices","","","","","","In this paper we employ a fundamental principle of classical mechanics known as the Least Action Principle to model the complex relationship between expected load and expected price in electricity spot markets. We consider here markets that feature a centralised electricity dispatch system that optimises grid parameters to determine the minimum spot nodal prices.","","2018-07-26 23:56:51","2018-07-26 23:56:51","","20","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\BQNVLJ3X\Maisano et al. - A method of forecasting wholesale electricity mark.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA3YURLC","journalArticle","","Riesz, Jennifer J; Gilmore, Joel B; Buchanan, Melinda; Vanderwaal, Ben; Rose, Ian A","Impacts of Electricity Markets on Solar Revenues – An Australian Case Study","","","","","","This paper reports on modelling to determine the most significant factors influencing solar generator revenues. The Australian National Electricity Market (NEM) is used as a case study. The most significant driver of variations in solar revenues from year to year and region to region is found to be pool prices (more than variations in solar resource). Peak pool prices (8am-6pm) are found to be a good indicator of solar revenues on a $/MWh basis. Generation during summer periods is particularly important, with a significant proportion of annual solar revenues being earned during a small number of high priced summer events. Based upon forecast pool prices, the regions Queensland and New South Wales are predicted to be optimal regions for solar development, but it is emphasised that pool price forecasts depend upon a wide range of input assumptions with high uncertainty. Finally, time of day correlations suggest that solar generators should be able to achieve significantly higher revenues than wind generators on a $/MWh basis, which should lead to higher valued Power Purchase Agreements for solar generators.","","2018-07-27 00:04:00","2018-07-27 00:04:00","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\VCH7LVXZ\Riesz et al. - Impacts of Electricity Markets on Solar Revenues –.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4XVNZ3Y","journalArticle","2016","Jeppesen, M.; Brear, M.J.; Chattopadhyay, D.; Manzie, C.; Dargaville, R.; Alpcan, T.","Least cost, utility scale abatement from Australia's NEM (National Electricity Market). Part 1: Problem formulation and modelling","Energy","","03605442","10.1016/j.energy.2016.02.017","http://linkinghub.elsevier.com/retrieve/pii/S0360544216300597","This paper is the ﬁrst of a two part study that considers long term, least cost, GHG (greenhouse gas) abatement pathways for an electricity system. Part 1 formulates a planning model to optimise these pathways and presents results for a single reference scenario. Part 2 applies this model to different scenarios and considers the policy implications.","2016-04","2018-07-27 00:08:47","2018-07-27 00:08:47","2018-07-27 00:08:47","606-620","","","101","","","Least cost, utility scale abatement from Australia's NEM (National Electricity Market). Part 1","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\C7J7SJYQ\Jeppesen et al. - 2016 - Least cost, utility scale abatement from Australia.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5MY976A","journalArticle","2014","Wagner, Liam; Molyneaux, Lynette; Foster, John","The magnitude of the impact of a shift from coal to gas under a Carbon Price","Energy Policy","","03014215","10.1016/j.enpol.2013.11.003","http://linkinghub.elsevier.com/retrieve/pii/S0301421513011038","We seek to evaluate the extent of the pass through of increased fuel and carbon costs to wholesale prices with a shift of generation from coal-ﬁred to gas-ﬁred plants. Modelling of Australia's National Electricity Market in 2035 is undertaken using Australian Energy Market Operator assumptions for fuel costs, capital costs and demand forecasts. An electricity market simulation package (PLEXOS), which uses deterministic linear programming techniques and transmission and generating plant data, is used to optimize the power system and determine the least cost dispatch of generating resources to meet a given demand. We ﬁnd that wholesale market prices increase due to the full pass through of the increased costs of gas over coal as an input fuel and the Carbon Price. In addition, we ﬁnd that wholesale prices increase by more than the pass through of fuel and carbon costs because of the fact that generators can charge infra-marginal rents and engage in strategic behaviour to maximize their proﬁts.","2014-03","2018-07-27 00:11:39","2018-07-27 00:11:39","2018-07-27 00:11:39","280-291","","","66","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\6HLWEZW4\Wagner et al. - 2014 - The magnitude of the impact of a shift from coal t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKLYIFVW","journalArticle","","Memisevic, Rizah; Choudhury, Sanjib; Sanderson, Penelope; Wong, William","Integrated power scheme simulator for human-system integration studies","","","","","","We present a simulator of a hydropower company’s view of its scheme, and its broader market and network context, which has been developed to evaluate advanced displays for control room operations. Although simplified, the simulator captures all the main aspects of scheme operations. The simulator allows controlled studies to be performed that test the effectiveness of current vs advanced display concepts under normal vs unexpected operating conditions that can be scripted into the simulator.","","2018-07-27 00:17:36","2018-07-27 00:17:36","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\VSHYWYJR\Memisevic et al. - Integrated power scheme simulator for human-system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FVDJ8AKB","journalArticle","2011","Hindsberger, Magnus; Eastwood, Michael","Assessing the market benefits of large-scale interconnectors","","","","","","","2011","2018-07-27 00:27:29","2018-07-27 00:27:29","","13","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\372IZGFR\Hindsberger and Eastwood - 2011 - Assessing the market benefits of large-scale inter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8NJQZ2T","journalArticle","","Brown, Katherine; Bennett, James; Parkyn, Roger; Ling, Fiona","TRANSLATING CLIMATE PROJECTIONS INTO USABLE INFORMATION FOR BUSINESS – A CASE STUDY FROM TASMANIA","","","","","","","","2018-07-27 00:31:40","2018-07-27 00:31:40","","10","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\user\Zotero\storage\B47LHTR5\Brown et al. - TRANSLATING CLIMATE PROJECTIONS INTO USABLE INFORM.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPB2YCLZ","conferencePaper","2010","Wagner, Liam; Reedman, Luke","Modeling the deployment of plug-in hybrid and electric vehicles and their effects on the Australian National Electricity Market","","978-1-4244-6076-2","","10.1109/CITRES.2010.5619871","http://ieeexplore.ieee.org/document/5619871/","The development of hybrid and fully electric vehicles could deliver signiﬁcant reductions of emissions from the Australian transportation sector by shifting its major energy source from internal combustion to electricity. This shift towards the the use of electricity shifts the point source emissions to one which has a lower emissions intensity. Changes in load behaviour as a result of the consumer uptake of these vehicles will have signiﬁcant consequences for network and central planners for the future of Australia’s electricity supply industry. This paper investigates the effects on the security of supply of energy during these previously unseen demand patterns, while also examining changes to spot market prices and changes in emissions rates. The simulation results indicate that wholesale prices during the off-peak period will increase slowly over time with controlled charging. While uncontrolled charging increases the incidence of extreme price events and a considerable number of hours with un-served energy within the network. This increase in spot prices will require further review by policy makers of regulated retail electricity tariffs. We also discuss the implementation of possible changes to the retail tariff structure to accommodate the charging of these vehicles.","2010-09","2018-07-27 00:35:59","2018-07-27 00:35:59","2018-07-27 00:35:59","165-170","","","","","","","","","","","IEEE","","en","","","","","Crossref","","","","C:\Users\user\Zotero\storage\V63XGMWQ\Wagner and Reedman - 2010 - Modeling the deployment of plug-in hybrid and elec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKYSLAZP","book","2008","Graham, P.; Reedman, L.; Poldy, F.","Fuel for Thought. The Future of Transport Fuels: Challenges and Opportunities","","","","","","","2008","2018-07-27 00:51:07","2018-07-27 00:51:07","","","","","","","","Fuel for Thought. The Future of Transport Fuels","","","","","Canberra: Commonwealth of Australia","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
